NIR_No,Rows,year,test,loc,cross,plant_no,color,bar_code
NIR-06948,45,2021,HIF 6,CAS,9,RM19-2713,2,2021_CAS_HIF 6_9_RM19-2713_2_NIR-06948
NIR-06947,7,2021,HIF 6,CAS,9,RM19-2713,1,2021_CAS_HIF 6_9_RM19-2713_1_NIR-06947
NIR-06946,54,2021,HIF 6,CAS,8,RM19-2697,2,2021_CAS_HIF 6_8_RM19-2697_2_NIR-06946
NIR-06945,21,2021,HIF 6,CAS,8,RM19-2697,1,2021_CAS_HIF 6_8_RM19-2697_1_NIR-06945
NIR-06944,44,2021,HIF 6,CAS,7,RM19-2696,2,2021_CAS_HIF 6_7_RM19-2696_2_NIR-06944
NIR-06943,22,2021,HIF 6,CAS,7,RM19-2696,1,2021_CAS_HIF 6_7_RM19-2696_1_NIR-06943
NIR-06942,56,2021,HIF 6,CAS,6,RM19-2691,2,2021_CAS_HIF 6_6_RM19-2691_2_NIR-06942
NIR-06941,23,2021,HIF 6,CAS,6,RM19-2691,1,2021_CAS_HIF 6_6_RM19-2691_1_NIR-06941
NIR-06940,37,2021,HIF 6,CAS,5,RM19-2690,2,2021_CAS_HIF 6_5_RM19-2690_2_NIR-06940
NIR-06939,29,2021,HIF 6,CAS,5,RM19-2690,1,2021_CAS_HIF 6_5_RM19-2690_1_NIR-06939
NIR-06938,57,2021,HIF 6,CAS,4,RM19-2717-2,2,2021_CAS_HIF 6_4_RM19-2717-2_2_NIR-06938
NIR-06937,8,2021,HIF 6,CAS,4,RM19-2717-2,1,2021_CAS_HIF 6_4_RM19-2717-2_1_NIR-06937
NIR-06936,49,2021,HIF 6,CAS,3,RM19-2686,2,2021_CAS_HIF 6_3_RM19-2686_2_NIR-06936
NIR-06935,30,2021,HIF 6,CAS,3,RM19-2686,1,2021_CAS_HIF 6_3_RM19-2686_1_NIR-06935
NIR-06934,51,2021,HIF 6,CAS,2,RM19-2678,2,2021_CAS_HIF 6_2_RM19-2678_2_NIR-06934
NIR-06933,28,2021,HIF 6,CAS,2,RM19-2678,1,2021_CAS_HIF 6_2_RM19-2678_1_NIR-06933
NIR-06932,31,2021,HIF 6,CAS,1,RM19-2657,2,2021_CAS_HIF 6_1_RM19-2657_2_NIR-06932
NIR-06931,11,2021,HIF 6,CAS,1,RM19-2657,1,2021_CAS_HIF 6_1_RM19-2657_1_NIR-06931
NIR-07050,34,2021,HIF 6,PLY,30,Dunphy,2,2021_PLY_HIF 6_30_Dunphy_2_NIR-07050
NIR-07049,19,2021,HIF 6,PLY,30,Dunphy,1,2021_PLY_HIF 6_30_Dunphy_1_NIR-07049
NIR-07048,55,2021,HIF 6,PLY,29,Osage,2,2021_PLY_HIF 6_29_Osage_2_NIR-07048
NIR-07047,28,2021,HIF 6,PLY,29,Osage,1,2021_PLY_HIF 6_29_Osage_1_NIR-07047
NIR-07046,47,2021,HIF 6,PLY,28,Ellis,2,2021_PLY_HIF 6_28_Ellis_2_NIR-07046
NIR-07045,20,2021,HIF 6,PLY,28,Ellis,1,2021_PLY_HIF 6_28_Ellis_1_NIR-07045
NIR-07044,40,2021,HIF 6,PLY,27,RM19-2774,2,2021_PLY_HIF 6_27_RM19-2774_2_NIR-07044
NIR-07043,2,2021,HIF 6,PLY,27,RM19-2774,1,2021_PLY_HIF 6_27_RM19-2774_1_NIR-07043
NIR-07042,54,2021,HIF 6,PLY,26,RM19-2768,2,2021_PLY_HIF 6_26_RM19-2768_2_NIR-07042
NIR-07041,14,2021,HIF 6,PLY,26,RM19-2768,1,2021_PLY_HIF 6_26_RM19-2768_1_NIR-07041
NIR-07040,44,2021,HIF 6,PLY,25,RM19-2765,2,2021_PLY_HIF 6_25_RM19-2765_2_NIR-07040
NIR-07039,12,2021,HIF 6,PLY,25,RM19-2765,1,2021_PLY_HIF 6_25_RM19-2765_1_NIR-07039
NIR-07038,37,2021,HIF 6,PLY,24,RM19-2764,2,2021_PLY_HIF 6_24_RM19-2764_2_NIR-07038
NIR-07037,24,2021,HIF 6,PLY,24,RM19-2764,1,2021_PLY_HIF 6_24_RM19-2764_1_NIR-07037
NIR-07036,53,2021,HIF 6,PLY,23,RM19-2754,2,2021_PLY_HIF 6_23_RM19-2754_2_NIR-07036
NIR-07035,7,2021,HIF 6,PLY,23,RM19-2754,1,2021_PLY_HIF 6_23_RM19-2754_1_NIR-07035
NIR-07034,31,2021,HIF 6,PLY,22,RM19-2753,2,2021_PLY_HIF 6_22_RM19-2753_2_NIR-07034
NIR-07033,3,2021,HIF 6,PLY,22,RM19-2753,1,2021_PLY_HIF 6_22_RM19-2753_1_NIR-07033
NIR-07032,35,2021,HIF 6,PLY,21,RM19-2752,2,2021_PLY_HIF 6_21_RM19-2752_2_NIR-07032
NIR-07031,10,2021,HIF 6,PLY,21,RM19-2752,1,2021_PLY_HIF 6_21_RM19-2752_1_NIR-07031
NIR-07030,38,2021,HIF 6,PLY,20,RM19-2751,2,2021_PLY_HIF 6_20_RM19-2751_2_NIR-07030
NIR-07029,4,2021,HIF 6,PLY,20,RM19-2751,1,2021_PLY_HIF 6_20_RM19-2751_1_NIR-07029
NIR-07028,39,2021,HIF 6,PLY,19,RM19-2750,2,2021_PLY_HIF 6_19_RM19-2750_2_NIR-07028
NIR-07027,23,2021,HIF 6,PLY,19,RM19-2750,1,2021_PLY_HIF 6_19_RM19-2750_1_NIR-07027
NIR-07026,58,2021,HIF 6,PLY,18,RM19-2749,2,2021_PLY_HIF 6_18_RM19-2749_2_NIR-07026
NIR-07025,17,2021,HIF 6,PLY,18,RM19-2749,1,2021_PLY_HIF 6_18_RM19-2749_1_NIR-07025
NIR-07024,49,2021,HIF 6,PLY,17,RM19-2747,2,2021_PLY_HIF 6_17_RM19-2747_2_NIR-07024
NIR-07023,1,2021,HIF 6,PLY,17,RM19-2747,1,2021_PLY_HIF 6_17_RM19-2747_1_NIR-07023
NIR-07022,46,2021,HIF 6,PLY,16,RM19-2728,2,2021_PLY_HIF 6_16_RM19-2728_2_NIR-07022
NIR-07021,18,2021,HIF 6,PLY,16,RM19-2728,1,2021_PLY_HIF 6_16_RM19-2728_1_NIR-07021
NIR-07020,32,2021,HIF 6,PLY,15,RM19-2726,2,2021_PLY_HIF 6_15_RM19-2726_2_NIR-07020
NIR-07019,16,2021,HIF 6,PLY,15,RM19-2726,1,2021_PLY_HIF 6_15_RM19-2726_1_NIR-07019
NIR-07018,45,2021,HIF 6,PLY,14,RM19-2725,2,2021_PLY_HIF 6_14_RM19-2725_2_NIR-07018
NIR-07017,27,2021,HIF 6,PLY,14,RM19-2725,1,2021_PLY_HIF 6_14_RM19-2725_1_NIR-07017
NIR-07016,36,2021,HIF 6,PLY,13,RM19-2719,2,2021_PLY_HIF 6_13_RM19-2719_2_NIR-07016
NIR-07015,25,2021,HIF 6,PLY,13,RM19-2719,1,2021_PLY_HIF 6_13_RM19-2719_1_NIR-07015
NIR-07014,41,2021,HIF 6,PLY,12,RM19-2718,2,2021_PLY_HIF 6_12_RM19-2718_2_NIR-07014
NIR-07013,6,2021,HIF 6,PLY,12,RM19-2718,1,2021_PLY_HIF 6_12_RM19-2718_1_NIR-07013
NIR-07012,59,2021,HIF 6,PLY,11,RM19-2717,2,2021_PLY_HIF 6_11_RM19-2717_2_NIR-07012
NIR-07011,5,2021,HIF 6,PLY,11,RM19-2717,1,2021_PLY_HIF 6_11_RM19-2717_1_NIR-07011
NIR-07010,52,2021,HIF 6,PLY,10,RM19-2714,2,2021_PLY_HIF 6_10_RM19-2714_2_NIR-07010
NIR-07009,8,2021,HIF 6,PLY,10,RM19-2714,1,2021_PLY_HIF 6_10_RM19-2714_1_NIR-07009
